id	term	kind	implementation_status	training_level	aliases	definition
resistor	Resistor	component	current	1	R	A resistor is a passive component that opposes current flow and is commonly used to set currents, divide voltages, bias circuits, and terminate signals.
variable-resistor	Variable resistor	component	planned	1	Potentiometer;VR	A variable resistor is a resistor whose resistance can be adjusted mechanically or electronically within a defined range.
capacitor	Capacitor	component	current	1	C	A capacitor stores electric charge and is commonly used for filtering, decoupling, timing, coupling, and energy storage.
polarized-capacitor	Polarized capacitor	component	planned	1		A polarized capacitor is a capacitor that must be connected with the specified terminal polarity to avoid incorrect operation or damage.
inductor	Inductor	component	planned	1	L	An inductor stores energy in a magnetic field and is commonly used in filtering, energy conversion, and impedance control.
transformer	Transformer	component	planned	1	T	A transformer transfers electrical energy between windings through magnetic coupling to change voltage, current, impedance, or isolation.
ferrite-bead	Ferrite bead	component	planned	2		A ferrite bead is a frequency-dependent passive component used to impede high-frequency noise while passing lower-frequency or DC current.
diode	Diode	component	planned	1	D	A diode is a semiconductor component that primarily allows current in one direction and blocks it in the opposite direction within its ratings.
rectifier-diode	Rectifier diode	component	planned	1		A rectifier diode is a diode optimized to conduct forward current and block reverse voltage in power-conversion applications.
zener-diode	Zener diode	component	planned	1		A Zener diode is designed to operate in controlled reverse breakdown for voltage reference, limiting, or protection functions.
tvs-diode	TVS diode	component	planned	1	TVS	A transient-voltage-suppression diode is designed to clamp short overvoltage events and protect downstream circuitry.
led	Light-emitting diode (LED)	component	planned	1	LED	A light-emitting diode is a polarized diode that emits light when forward biased within its electrical ratings.
photodiode	Photodiode	component	planned	2		A photodiode converts incident light into an electrical response for sensing and optical detection.
fuse	Fuse	component	planned	1		A fuse is an overcurrent protection component designed to open a circuit when current exceeds its rated behavior for sufficient time.
bjt-npn	NPN bipolar junction transistor	component	planned	2	NPN;BJT	An NPN bipolar junction transistor is a three-terminal semiconductor device in which base current controls a larger collector-to-emitter current.
bjt-pnp	PNP bipolar junction transistor	component	planned	2	PNP;BJT	A PNP bipolar junction transistor is a three-terminal semiconductor device in which base drive controls current in the complementary polarity to an NPN device.
